x,y
1.295215748520556764e-01,2.088858034994536123e-02
1.309294180569693100e-01,2.101168863156862091e-02
1.323372612618829713e-01,2.113260178738484568e-02
1.337451044667966049e-01,2.125132069245995459e-02
1.351529476717102662e-01,2.136784620552708430e-02
1.365607908766238998e-01,2.148217916901798419e-02
1.379686340815375611e-01,2.159432040909441478e-02
1.393764772864512225e-01,2.170427073567725990e-02
1.407843204913648560e-01,2.181203094247665883e-02
1.421921636962785174e-01,2.191760180702101435e-02
1.436000069011921509e-01,2.202098409068449156e-02
1.450078501061058123e-01,2.212217853871557144e-02
1.464156933110194736e-01,2.222118588026341171e-02
1.478235365159331072e-01,2.231800682840479749e-02
1.492313797208467685e-01,2.241264208016959664e-02
1.506392229257604021e-01,2.250509231656644404e-02
1.520470661306740634e-01,2.259535820260682656e-02
1.534549093355877247e-01,2.268344038732952178e-02
1.548627525405013305e-01,2.276933950382434291e-02
1.562705957454149919e-01,2.285305616925405181e-02
1.576784389503286254e-01,2.293459098487776390e-02
1.590862821552422868e-01,2.301394453607184115e-02
1.604941253601559481e-01,2.309111739235124305e-02
1.619019685650695817e-01,2.316611010739018719e-02
1.633098117699832430e-01,2.323892321904211938e-02
1.647176549748968766e-01,2.330955724935857357e-02
1.661254981798105379e-01,2.337801270460866318e-02
1.675333413847241992e-01,2.344429007529668513e-02
1.689411845896378328e-01,2.350838983618037947e-02
1.703490277945514941e-01,2.357031244628701380e-02
1.717568709994651277e-01,2.363005834893099066e-02
1.731647142043787890e-01,2.368762797172899864e-02
1.745725574092924504e-01,2.374302172661568386e-02
1.759804006142060839e-01,2.379624000985800999e-02
1.773882438191197453e-01,2.384728320207022551e-02
1.787960870240333511e-01,2.389615166822676301e-02
1.802039302289470124e-01,2.394284575767559320e-02
1.816117734338606737e-01,2.398736580415078770e-02
1.830196166387743073e-01,2.402971212578449561e-02
1.844274598436879686e-01,2.406988502511791389e-02
1.858353030486016022e-01,2.410788478911281632e-02
1.872431462535152635e-01,2.414371168916113614e-02
1.886509894584289249e-01,2.417736598109513496e-02
1.900588326633425584e-01,2.420884790519629501e-02
1.914666758682562198e-01,2.423815768620401698e-02
1.928745190731698533e-01,2.426529553332346795e-02
1.942823622780835147e-01,2.429026164023337722e-02
1.956902054829971760e-01,2.431305618509251032e-02
1.970980486879108096e-01,2.433367933054665991e-02
1.985058918928244709e-01,2.435213122373377018e-02
1.999137350977381045e-01,2.436841199628941509e-02
2.013215783026517658e-01,2.438252176435194360e-02
2.027294215075653994e-01,2.439446062856590047e-02
2.041372647124790329e-01,2.440422867408601273e-02
2.055451079173926943e-01,2.441182597058040929e-02
2.069529511223063278e-01,2.441725257223253606e-02
2.083607943272199892e-01,2.442050851774379971e-02
2.097686375321336505e-01,2.442159383033424072e-02
2.097686375321336505e-01,2.442159383033418868e-02
2.144010802108488323e-01,2.442159383033418868e-02
2.190335228895640141e-01,2.442159383033418868e-02
2.236659655682791681e-01,2.442159383033418868e-02
2.282984082469943499e-01,2.442159383033418868e-02
2.329308509257095317e-01,2.442159383033418868e-02
2.375632936044247134e-01,2.442159383033418868e-02
2.421957362831398675e-01,2.442159383033418868e-02
2.468281789618550215e-01,2.442159383033418868e-02
2.514606216405702033e-01,2.442159383033418868e-02
2.560930643192854128e-01,2.442159383033418868e-02
2.607255069980005668e-01,2.442159383033418868e-02
2.653579496767157209e-01,2.442159383033418868e-02
2.699903923554308749e-01,2.442159383033418868e-02
2.746228350341460844e-01,2.442159383033418868e-02
2.792552777128612385e-01,2.442159383033418868e-02
2.838877203915764480e-01,2.442159383033418868e-02
2.885201630702916020e-01,2.442159383033418868e-02
2.931526057490067561e-01,2.442159383033418868e-02
2.977850484277219656e-01,2.442159383033418868e-02
3.024174911064371196e-01,2.442159383033418868e-02
3.070499337851522736e-01,2.442159383033418868e-02
3.116823764638674277e-01,2.442159383033418868e-02
3.163148191425826372e-01,2.442159383033418868e-02
3.209472618212977912e-01,2.442159383033418868e-02
3.255797045000130008e-01,2.442159383033418868e-02
3.302121471787281548e-01,2.442159383033418868e-02
3.348445898574433088e-01,2.442159383033418868e-02
3.394770325361585184e-01,2.442159383033418868e-02
3.441094752148736724e-01,2.442159383033418868e-02
3.487419178935888264e-01,2.442159383033418868e-02
3.533743605723040360e-01,2.442159383033418868e-02
3.580068032510191900e-01,2.442159383033418868e-02
3.626392459297343440e-01,2.442159383033418868e-02
3.672716886084495536e-01,2.442159383033418868e-02
3.719041312871647076e-01,2.442159383033418868e-02
3.765365739658798616e-01,2.442159383033418868e-02
3.811690166445950712e-01,2.442159383033418868e-02
3.858014593233102252e-01,2.442159383033418868e-02
3.904339020020253792e-01,2.442159383033418868e-02
